Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
See::attacksTo,0.745950,0.745950,0.0,0.0,5.2,5.2,10.8,0.8,0.6,0.3,5.7,1.0,4.7,1.3,0.1,0.0,0.0,0.0,0.0,,,8559710000,0.483905,5552767693.435657
Evaluator::knightEval,0.685954,0.685954,0.0,0.0,3.1,3.1,22.8,0.4,2.9,0.0,12.0,1.2,0.4,0.6,1.0,0.0,1.1,0.0,100.0,,,7882840000,0.370061,4252663240.137026
[Loop at line 823 in MoveGenerator::generateMoves],0.671955,0.671955,0.0,0.0,11.3,11.3,14.5,0.0,0.4,0.0,4.4,0.8,4.2,0.3,0.0,0.0,0.0,0.0,0.0,,,5304145000,0.662902,5232689629.366072
[Loop at line 53 in See::see],0.667955,0.667955,0.0,0.0,1.8,1.8,9.5,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8299145000,0.400577,4977057616.032934
moveValueGreaterComparator::operator(),0.643957,0.643957,0.0,0.0,1.9,1.9,15.4,0.0,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5337090000,0.534231,4427690269.304348
See::revealedAttacks,0.623958,0.623958,0.0,0.0,0.4,0.4,10.9,1.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7232925000,0.435611,5049603778.096154
[Loop at line 501 in MoveGenerator::fillOnDemandMoveList],0.609959,0.609959,0.0,0.0,5.6,5.6,14.3,1.2,1.8,0.0,6.2,0.5,2.1,3.3,0.0,0.0,0.2,0.0,100.0,,,4983680000,0.614183,5018191295.577049
"std::array<int,64>::operator[]",0.601959,0.601959,0.0,0.0,1.2,1.2,8.6,7.0,1.2,0.0,6.9,1.9,8.7,3.2,0.2,0.0,0.0,0.0,0.0,,,5019620000,0.603819,5035124033.043189
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.572961,0.572961,0.0,0.0,26.2,26.2,12.0,3.7,7.5,3.7,47.1,0.7,0.1,0.1,0.7,0.0,0.0,0.0,0.0,,,1779030000,1.430976,4443144685.602095
[Loop at line 692 in MoveGenerator::generatePawnMoves],0.529964,0.529964,0.0,0.0,11.2,11.2,15.6,0.0,3.1,0.0,4.3,3.0,2.2,1.5,0.1,0.0,0.0,0.0,0.0,,,4091170000,0.627379,4843185510.447169
Position::movePiece,0.520965,0.520965,0.0,0.0,26.5,26.5,22.4,1.8,21.2,0.0,16.5,0.5,1.6,7.4,0.0,0.0,0.0,0.0,0.0,,,3725780000,0.623794,4461184143.984645
MoveGenerator::generateKingMoves,0.496966,0.496966,0.0,0.0,6.4,6.4,24.1,0.0,4.9,0.0,1.9,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,,,4210970000,0.487198,4128196247.655936
Search::sendSearchUpdateToUci,0.494967,0.494967,0.0,0.0,68.5,68.5,9.1,18.2,32.6,0.4,27.9,33.4,1.1,2.1,0.0,0.0,0.0,0.0,0.0,,,95840000,32.218750,6238491940.345454
_security_check_cookie,0.482967,0.482967,0.0,0.0,16.4,16.4,16.2,4.7,14.4,0.0,19.8,14.3,5.0,1.9,0.0,0.0,0.0,0.0,0.0,,,2929110000,0.688139,4173439147.397515
std::_Checked_popcount<unsigned __int64>,0.470968,0.470968,0.0,0.0,13.6,13.6,17.7,0.8,2.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6121780000,0.423190,5500742969.140127
MoveGenerator::generateMoves,0.469968,0.469968,0.0,0.0,20.9,20.9,10.5,1.8,6.4,0.0,8.3,1.7,3.6,6.5,0.0,0.0,0.0,0.0,0.0,,,3896495000,0.694081,5754611965.155319
Bitboard::operator bool,0.453969,0.453969,0.0,0.0,2.9,2.9,18.2,0.0,1.0,0.0,6.4,12.1,10.9,1.2,0.0,0.0,0.0,0.0,0.0,,,4408640000,0.486413,4723711023.251101
Bitboard::operator^=,0.446970,0.446970,0.0,0.0,11.5,11.5,16.2,0.0,2.4,0.0,4.1,1.1,0.2,0.8,0.0,0.0,0.0,0.0,0.0,,,4264880000,0.530899,5065711172.697987
"std::array<Bitboard,64>::operator[]",0.443970,0.443970,0.0,0.0,9.6,9.6,13.6,0.0,9.4,0.5,6.2,0.0,1.2,5.7,0.0,0.0,0.0,0.0,0.0,,,4333765000,0.534900,5221366068.770270
Position::getPieceBb,0.435971,0.435971,0.0,0.0,4.3,4.3,18.5,0.0,1.0,0.3,3.8,1.5,4.1,0.6,0.0,0.0,0.0,0.0,0.0,,,4330770000,0.508299,5049251484.254587
Bitboard::shifted,0.429971,0.429971,0.0,0.0,17.3,17.3,23.5,0.0,3.0,0.0,2.0,2.4,2.1,0.4,0.0,0.0,0.0,0.0,0.0,,,3755730000,0.628389,5488882246.297674
Position::hasCheck,0.423971,0.423971,0.0,0.0,22.4,22.4,3.3,0.0,31.1,4.8,28.0,1.2,3.0,36.2,0.0,0.0,0.0,0.0,0.0,,,1850910000,1.040453,4542252455.101416
std::_Unchecked_popcount<unsigned __int64>,0.416972,0.416972,0.0,0.0,1.8,1.8,11.9,1.1,0.6,0.0,3.1,3.4,0.0,0.0,0.0,0.0,0.4,0.0,100.0,,,5771365000,0.335236,4640049514.834532
std::popcount,0.401973,0.401973,0.0,0.0,0.6,0.6,21.2,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4148075000,0.379061,3911644717.723881
"std::_Atomic_address_as<char,struct std::_Atomic_padded<bool> >",0.393973,0.393973,0.0,0.0,27.5,27.5,0.0,5.2,21.5,0.0,71.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2599660000,0.600230,3960660831.373096
func@0x1406b16d3,0.389974,0.389974,0.0,0.0,16.5,16.5,34.0,0.0,18.5,0.0,22.2,13.7,5.3,3.5,0.1,0.0,0.0,0.0,0.0,SSE(128),,116805000,12.153846,3640322723.676923
makePiece,0.366975,0.366975,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4735095000,0.361164,4660110298.667575
Move::operator==,0.363975,0.363975,0.0,0.0,1.2,1.2,14.0,0.0,3.3,0.0,21.5,1.8,7.3,4.8,0.0,0.0,0.0,0.0,0.0,,,3216630000,0.444134,3925031508.123626
MoveGenerator::resetOnDemand,0.353976,0.353976,0.0,0.0,8.5,8.5,2.2,0.0,7.0,0.3,5.6,1.4,0.3,0.6,0.3,0.0,3.9,0.0,100.0,,,2638595000,0.833144,6210391087.271187
